# Silica Networks Geofeed — RFC 8805
# prefix,CC,region,city,cp

200.49.160.0/24,GT,GT-GU,Santa Catarina Pinula,
190.61.50.0/24,GT,GT-GU,Guatemala,
190.61.54.0/24,AR,AR-B,Buenos Aires,
190.61.52.0/24,CR,CR-SJ,San Jose,
179.51.96.0/24,CO,CO-CUN,Soacha,
45.238.216.0/23,EC,EC-T,Ambato,
45.238.218.0/27,EC,EC-T,Ambato,
128.201.112.0/24,DO,DO-18,Sosua,
128.201.113.0/24,DO,DO-18,Sosua,
2803:33c0::/32,DO,DO-18,Imbert,
128.201.114.48/28,DO,DO-14,Rio San Juan,
128.201.114.64/27,DO,DO-09,Joba Arriba,
128.201.114.96/27,DO,DO-09,Magante,
128.201.114.128/26,DO,DO-09,Gaspar Hernandez,
128.201.114.192/26,DO,DO-09,Veragua,
128.201.115.32/31,DO,DO-18,Imbert,
128.201.115.128/25,DO,DO-18,Imbert,
128.201.115.3/32,DO,DO-18,Imbert,
128.201.115.11/32,DO,DO-18,Altamira,
128.201.115.10/32,DO,DO-18,Maimon,
128.201.115.9/32,DO,DO-18,Imbert,
128.201.115.12/32,DO,DO-18,Imbert,
128.201.115.8/32,DO,DO-18,Luperon,
128.201.115.13/32,DO,DO-18,Luperon,
45.65.244.120/29,DO,DO-18,Puerto Plata,
45.65.244.128/30,DO,DO-18,Puerto Plata,
45.65.244.136/29,DO,DO-18,Sosua,
45.65.244.154/31,DO,DO-18,Sosua,
45.65.245.0/24,DO,DO-18,Sosua,
45.65.246.0/24,DO,DO-18,Sosua,
45.65.247.0/24,DO,DO-18,Sosua,
2803:4dc0:2211::/48,DO,DO-09,Sabaneta de Yasica,
2803:4dc0:2212::/48,DO,DO-09,Gaspar Hernandez,
2803:4dc0:2213::/48,DO,DO-09,Joba Arriba,
2803:4dc0:2215::/48,DO,DO-09,Magante,
2803:4dc0:2220::/48,DO,DO-14,Rio San Juan,
2803:4dc0:900::/48,DO,DO-18,Sosua,
45.65.244.0/28,DO,DO-18,Sosua,
2803:5420::/32,CR,CR-P,Jaco,
45.238.218.32/27,EC,EC-H,Riobamba,
45.238.218.64/27,EC,EC-Y,Puyo,
45.238.218.96/27,EC,EC-I,Ibarra,
45.238.218.128/27,EC,EC-C,Tulcan,
45.238.218.160/27,EC,EC-P,Santo Domingo,
45.238.218.192/27,EC,EC-R,Quevedo,
45.238.218.224/27,EC,EC-R,Babahoyo,
45.238.219.48/29,EC,EC-H,Riobamba,
45.238.219.64/29,EC,EC-Y,Puyo,
45.238.219.72/29,EC,EC-I,Ibarra,
45.238.219.88/29,EC,EC-C,Tulcan,
45.238.219.104/29,EC,EC-P,Santo Domingo,
168.0.12.0/24,PE,PE-HUV,Huancavelica,
168.0.13.0/24,PE,PE-AYA,Ayacucho,
45.5.68.0/22,PE,PE-LIM,Lima,
2801:0:3b0::/48,CO,CO-NSA,Cucuta,
192.140.92.0/24,EC,EC-E,Esmeraldas,
179.49.0.0/18,EC,EC-P,Quito,
190.103.208.0/20,AR,AR-B,Punta Alta,
45.225.43.0/24,CL,CL-AR,Temuco,
45.162.208.0/22,CL,CL-RM,Santiago,
2803:2ea0::/32,CL,CL-RM,Santiago,
45.164.16.0/22,AR,AR-N,el soberbio,
2803:61a0::/32,AR,AR-N,el soberbio,
131.72.0.0/24,AR,AR-Z,Rio Gallegos,
131.72.1.0/24,AR,AR-T,Concepcion,
131.72.2.0/24,AR,AR-M,Mendoza,
131.72.3.0/24,AR,AR-J,San Juan,
168.194.204.0/24,AR,AR-M,Mendoza,
190.12.0.0/19,EC,EC-P,Quito,
168.194.205.0/24,AR,AR-J,San Juan,
168.194.206.0/24,AR,AR-M,Mendoza,
168.194.207.0/24,AR,AR-M,Mendoza,
168.90.8.0/24,AR,AR-M,Mendoza,
168.90.9.0/24,AR,AR-G,Santiago del Estero,
168.90.10.0/24,AR,AR-U,Trelew,
168.90.11.0/24,AR,AR-U,Puerto Madryn,
190.12.32.0/19,EC,EC-P,Quito,
179.49.120.0/21,AR,AR-B,Bragado,
191.102.244.0/24,AR,AR-B,Bragado,
191.102.246.0/24,AR,AR-B,Bragado,
191.102.247.0/24,AR,AR-B,Bragado,
191.102.245.0/24,AR,AR-B,Mercedes,
45.172.228.0/22,PY,PY-14,SALTO DEL GUAIRA,
2803:9fa0::/32,PY,PY-14,SALTO DEL GUAIRA,
45.162.208.0/24,CL,CL-RM,Santiago,
